bodyPart,equipment,id,name,target
back,leverage machine,1348,lever reverse grip vertical row,upper back
back,leverage machine,1349,lever reverse t-bar row,upper back
Calves,leverage machine,2315,lever rotary calf,calves
Calves,leverage machine,2335,lever seated calf press,calves
Calves,leverage machine,594,lever seated calf raise ,calves
Triceps,leverage machine,1451,lever seated dip,triceps
chest,leverage machine,596,lever seated fly,pectorals
Hamstrings,leverage machine,599,lever seated leg curl,hamstrings
shoulders,leverage machine,602,lever seated reverse fly,delts
shoulders,leverage machine,601,lever seated reverse fly (parallel grip),delts
back,leverage machine,1350,lever seated row,upper back
shoulders,leverage machine,1454,lever seated shoulder press,delts
Calves,leverage machine,1385,lever seated squat calf raise on leg press machine,calves
shoulders,leverage machine,603,lever shoulder press ,delts
shoulders,leverage machine,869,lever shoulder press  v. 2,delts
shoulders,leverage machine,2318,lever shoulder press  v. 3,delts
back,leverage machine,604,lever shrug ,traps
Calves,leverage machine,605,lever standing calf raise,calves
chest,leverage machine,3758,lever standing chest press,pectorals
back,leverage machine,606,lever t bar row ,upper back
back,leverage machine,1351,lever t-bar reverse grip row,upper back
Triceps,leverage machine,607,lever triceps extension,triceps
back,leverage machine,1313,lever unilateral row,upper back
back,body weight,1352,lower back curl,spine
Quads,body weight,613,lying (side) quads stretch,quads
chest,leverage machine,1301,machine inner chest press,pectorals
back,body weight,627,mixed grip chin-up,lats
chest,body weight,3217,modified hindu push-up (male),pectorals
back,body weight,631,muscle up,lats
back,body weight,1401,muscle-up (on vertical bar),lats
back,body weight,1355,one arm against wall,lats
back,body weight,638,one arm chin-up,lats
Triceps,body weight,639,one arm dip,triceps
back,body weight,1773,one arm towel row,upper back
Calves,body weight,1386,one leg donkey calf raise,calves
Calves,body weight,1387,one leg floor calf raise,calves
Triceps,body weight,643,overhead triceps stretch,triceps
chest,body weight,1306,plyo push up,pectorals
Hamstrings,barbell,648,power clean,hamstrings
back,body weight,651,pull up (neutral grip),lats
back,body weight,652,pull-up,lats
chest,body weight,1689,push and pull bodyweight,pectorals
chest,body weight,662,push-up,pectorals
chest,body weight,659,push-up (wall),pectorals
chest,body weight,658,push-up (wall) v. 2,pectorals
Triceps,dumbbell,660,push-up close-grip off dumbbell,triceps
Triceps,body weight,1467,push-up on lower arms,triceps
chest,body weight,3145,push-up plus,pectorals
Quads,body weight,3533,quads,quads
Quads,body weight,3552,quick feet v. 2,quads
chest,body weight,666,raise single arm push-up,pectorals
back,body weight,670,rear pull-up,lats
Triceps,body weight,672,reverse dip,triceps
back,leverage machine,673,reverse grip machine lat pulldown,lats
back,body weight,674,reverse grip pull-up,lats
Triceps,body weight,677,ring dips,triceps
back,body weight,678,rocky pull-up pulldown,lats
Hamstrings,body weight,1585,runners stretch,hamstrings
back,body weight,3012,scapula dips,traps
chest,body weight,3021,scapula push-up,serratus anterior
back,body weight,688,scapular pull-up,traps
Calves,body weight,1390,seated calf stretch (male),calves
back,body weight,690,seated lower back stretch,lats
Hamstrings,body weight,1587,seated wide angle pose sequence,hamstrings
Hamstrings,body weight,697,self assisted inverse leg curl,hamstrings
Hamstrings,body weight,1766,self assisted inverse leg curl,hamstrings
Hamstrings,body weight,696,self assisted inverse leg curl (on floor),hamstrings
back,body weight,1763,shoulder grip pull-up,lats
chest,body weight,699,shoulder tap push-up,pectorals
back,body weight,1358,side lying floor stretch,lats
Triceps,body weight,717,side push-up,triceps
back,body weight,720,side-to-side chin,lats
chest,body weight,725,single arm push-up,pectorals
Calves,dumbbell,727,single leg calf raise (on a dumbbell),calves
Hamstrings,body weight,730,single leg platform slide,hamstrings
Quads,body weight,1489,sissy squat,quads
back,body weight,3304,skin the cat,upper back
back,smith machine,746,smith back shrug,traps
shoulders,smith machine,747,smith behind neck press,delts
chest,smith machine,748,smith bench press,pectorals
back,smith machine,1359,smith bent over row,upper back
Quads,smith machine,750,smith chair squat,quads
Triceps,smith machine,751,smith close-grip bench press,triceps
chest,smith machine,753,smith decline bench press,pectorals
chest,smith machine,754,smith decline reverse-grip press,pectorals
chest,smith machine,757,smith incline bench press,pectorals
chest,smith machine,758,smith incline reverse-grip press,pectorals
chest,smith machine,759,smith incline shoulder raises,serratus anterior
Biceps,smith machine,1683,smith machine bicep curl,biceps
Triceps,smith machine,1625,smith machine decline close grip bench press,triceps
Triceps,smith machine,1752,smith machine incline tricep extension,triceps
chest,smith machine,1626,smith machine reverse decline close grip bench press,pectorals
back,smith machine,761,smith narrow row,upper back
back,smith machine,1360,smith one arm row,upper back
Calves,smith machine,1393,smith one leg floor calf raise,calves
shoulders,smith machine,762,smith rear delt row,delts
Calves,smith machine,763,smith reverse calf raises,calves
Calves,smith machine,1394,smith reverse calf raises,calves
back,smith machine,1361,smith reverse grip bent over row,upper back
chest,smith machine,764,smith reverse-grip press,pectorals
Calves,smith machine,1395,smith seated one leg calf raise,calves
shoulders,smith machine,765,smith seated shoulder press,delts
shoulders,smith machine,766,smith shoulder press,delts
back,smith machine,767,smith shrug,traps
Quads,smith machine,768,smith single leg split squat,quads
shoulders,smith machine,772,smith standing behind head military press,delts
Calves,smith machine,773,smith standing leg calf raise,calves
shoulders,smith machine,774,smith standing military press,delts
Calves,smith machine,1396,smith toe raise,calves
shoulders,smith machine,775,smith upright row,delts
chest,smith machine,1308,smith wide grip bench press,pectorals
chest,smith machine,1309,smith wide grip decline bench press,pectorals
Quads,barbell,776,snatch pull,quads
back,body weight,1362,sphinx,spine
back,body weight,1363,spine stretch,spine
Quads,body weight,2368,split squats,quads
Quads,barbell,786,squat jerk,quads
Quads,body weight,1685,squat to overhead reach,quads
Quads,body weight,1686,squat to overhead reach with twist,quads
Triceps,body weight,3291,stalder press,triceps
back,body weight,3669,standing archer,upper back
shoulders,barbell,788,standing behind neck press,delts
Calves,body weight,1490,standing calf raise (on a staircase),calves
Calves,body weight,1397,standing calves,calves
Calves,body weight,1398,standing calves calf stretch,calves
back,body weight,794,standing lateral stretch,lats
back,body weight,1364,standing pelvic tilt,spine
Hamstrings,body weight,795,standing single leg curl,hamstrings
chest,body weight,803,superman push-up,pectorals
chest,body weight,806,suspended push-up,pectorals
back,body weight,808,suspended row,upper back
Quads,body weight,809,suspended split squat,quads
Triceps,body weight,1753,three bench dip,triceps
Triceps,body weight,814,triceps dip,triceps
Triceps,body weight,812,triceps dip (bench leg),triceps
Triceps,body weight,813,triceps dip (between benches),triceps
Triceps,body weight,815,triceps dips floor,triceps
Triceps,body weight,816,triceps press,triceps
Triceps,body weight,817,triceps stretch,triceps
back,cable,818,twin handle parallel grip lat pulldown,lats
back,body weight,3231,two toe touch (male),spine
back,body weight,1365,upper back stretch,upper back
back,body weight,1366,upward facing dog,spine
Triceps,weighted,830,weighted bench dip,triceps
back,weighted,2987,weighted close grip chin-up on dip cage,lats
Calves,weighted,833,weighted donkey calf raise,calves
chest,weighted,1310,weighted drop push up,pectorals
shoulders,weighted,834,weighted front raise,delts
back,weighted,835,weighted hyperextension (on stability ball),spine
shoulders,weighted,3641,weighted kneeling step with swing,delts
back,weighted,3286,weighted muscle up,lats
back,weighted,3312,weighted muscle up (on bar),lats
back,weighted,3290,weighted one hand pull up,lats
back,weighted,841,weighted pull-up,lats
shoulders,weighted,844,weighted round arm,delts
Quads,weighted,851,weighted sissy squat,quads
Biceps,weighted,853,weighted standing curl,biceps
chest,weighted,3313,weighted straight bar dip,pectorals
chest,weighted,856,weighted svend press,pectorals
Triceps,weighted,1754,weighted three bench dips,triceps
Triceps,weighted,1755,weighted tricep dips,triceps
Triceps,weighted,1767,weighted triceps dip on high parallel bars,triceps
back,body weight,1429,wide grip pull-up,lats
back,body weight,1367,wide grip rear pull-up,lats
chest,body weight,1311,wide hand push up,pectorals
chest,body weight,2363,wide-grip chest dip on high parallel bars,pectorals
Hamstrings,body weight,1604,world greatest stretch,hamstrings
